Title,Stars,Stars,Stars,Stars
Crash,Karina Arroyave,Karina Arroyave,Karina Arroyave,Karina Arroyave
Pulp Fiction,Bruce Willis,Bruce Willis,Bruce Willis,Bruce Willis
Reservoir Dogs,Chris Penn,Chris Penn,Chris Penn,Chris Penn
The Expendables,Dolph Lundgren,Dolph Lundgren,Dolph Lundgren,Dolph Lundgren
Congo,Ernie Hudson,Ernie Hudson,Ernie Hudson,Ernie Hudson
Django Unchained,Kerry Washington,Kerry Washington,Kerry Washington,Kerry Washington
How the West Was Won,Henry Fonda,Henry Fonda,Henry Fonda,Henry Fonda
Olympus Has Fallen,Angela Bassett,Angela Bassett,Angela Bassett,Angela Bassett
Ocean's Eleven,Matt Damon,Matt Damon,Matt Damon,Matt Damon
Pirates of the Caribbean: The Curse of the Black Pearl,Keira Knightley,Keira Knightley,Keira Knightley,Keira Knightley
The Lord of the Rings: The Return of the King,Orlando Bloom,Orlando Bloom,Orlando Bloom,Orlando Bloom
Mars Attacks!,Annette Bening,Annette Bening,Annette Bening,Annette Bening
A Bridge Too Far,Laurence Olivier,Laurence Olivier,Laurence Olivier,Laurence Olivier
Saving Private Ryan,Edward Burns,Edward Burns,Edward Burns,Edward Burns
The Godfather,Diane Keaton,Diane Keaton,Diane Keaton,Diane Keaton
Tropic Thunder,Jeff Kahn,Jeff Kahn,Jeff Kahn,Jeff Kahn
Apocalypse Now,Frederic Forrest,Frederic Forrest,Frederic Forrest,Frederic Forrest
Troy,Julian Glover,Julian Glover,Julian Glover,Julian Glover
The Great Escape,Charles Bronson,Charles Bronson,Charles Bronson,Charles Bronson
Kelly's Heroes,Carroll O'Connor,Carroll O'Connor,Carroll O'Connor,Carroll O'Connor
Glengarry Glen Ross,Alan Arkin,Alan Arkin,Alan Arkin,Alan Arkin
The Thin Red Line,Kirk Acevedo,Kirk Acevedo,Kirk Acevedo,Kirk Acevedo
The Life Aquatic with Steve Zissou,Cate Blanchett,Cate Blanchett,Cate Blanchett,Cate Blanchett
The Ice Storm,Henry Czerny,Henry Czerny,Henry Czerny,Henry Czerny
Contagion,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow
Traffic,Jacob Vargas,Jacob Vargas,Jacob Vargas,Jacob Vargas
Mou gaan dou,Eric Tsang,Eric Tsang,Eric Tsang,Eric Tsang
Heat,Jon Voight,Jon Voight,Jon Voight,Jon Voight
Lonesome Dove,Diane Lane,Diane Lane,Diane Lane,Diane Lane
Predators,Alice Braga,Alice Braga,Alice Braga,Alice Braga
You Will Meet a Tall Dark Stranger,Gemma Jones,Gemma Jones,Gemma Jones,Gemma Jones
The Player,Whoopi Goldberg,Whoopi Goldberg,Whoopi Goldberg,Whoopi Goldberg
Third Person,Olivia Wilde,Olivia Wilde,Olivia Wilde,Olivia Wilde
RED 2,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins,Anthony Hopkins
Anchorman 2: The Legend Continues,Steve Carell,Steve Carell,Steve Carell,Steve Carell
The Social Network,Rooney Mara,Rooney Mara,Rooney Mara,Rooney Mara
The Expendables 3,Antonio Banderas,Antonio Banderas,Antonio Banderas,Antonio Banderas
Godzilla,Ken Watanabe,Ken Watanabe,Ken Watanabe,Ken Watanabe
Lincoln,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Joseph Gordon-Levitt
Boogie Nights,Luis Guzmán,Luis Guzmán,Luis Guzmán,Luis Guzmán
Magnolia,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman,Philip Seymour Hoffman
Steel Magnolias,Julia Roberts,Julia Roberts,Julia Roberts,Julia Roberts
The Long Riders,Keith Carradine,Keith Carradine,Keith Carradine,Keith Carradine
Inception,Ken Watanabe,Ken Watanabe,Ken Watanabe,Ken Watanabe
Toy Story 2,Kelsey Grammer,Kelsey Grammer,Kelsey Grammer,Kelsey Grammer
Disconnect,Hope Davis,Hope Davis,Hope Davis,Hope Davis
2047: Sights of Death,Stephen Baldwin,Stephen Baldwin,Stephen Baldwin,Stephen Baldwin
Hell Ride,Julia Jones,Julia Jones,Julia Jones,Julia Jones
Transsiberian,Kate Mara,Kate Mara,Kate Mara,Kate Mara
Horrible Bosses 2,Jennifer Aniston,Jennifer Aniston,Jennifer Aniston,Jennifer Aniston
Reach Me,Kelsey Grammer,Kelsey Grammer,Kelsey Grammer,Kelsey Grammer
Transformers: Age of Extinction,Stanley Tucci,Stanley Tucci,Stanley Tucci,Stanley Tucci
Higher Learning,Jennifer Connelly,Jennifer Connelly,Jennifer Connelly,Jennifer Connelly
Network,Robert Duvall,Robert Duvall,Robert Duvall,Robert Duvall
